Source,Target,Type,id,weight
Aemon-Targaryen-(Maester-Aemon),Owen,Undirected,61,3
Aemon-Targaryen-(Maester-Aemon),Pypar,Undirected,62,5
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,Undirected,63,5
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,64,99
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,65,12
Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,Undirected,66,3
Aenys-Frey,Arya-Stark,Undirected,67,6
Aenys-Frey,Hosteen-Frey,Undirected,68,6
Aenys-Frey,Theon-Greyjoy,Undirected,69,3
Aenys-Frey,Wyman-Manderly,Undirected,70,4
Aeron-Greyjoy,Asha-Greyjoy,Undirected,71,7
Aeron-Greyjoy,Baelor-Blacktyde,Undirected,72,4
Aeron-Greyjoy,Balon-Greyjoy,Undirected,73,17
Aeron-Greyjoy,Dagmer,Undirected,74,5
Aeron-Greyjoy,Dunstan-Drumm,Undirected,75,4
Aeron-Greyjoy,Emmond,Undirected,76,4
Aeron-Greyjoy,Euron-Greyjoy,Undirected,77,27
Aeron-Greyjoy,Gormond-Goodbrother,Undirected,78,6
Aeron-Greyjoy,Gorold-Goodbrother,Undirected,79,10
Aeron-Greyjoy,Greydon-Goodbrother,Undirected,80,4
Aeron-Greyjoy,Meldred-Merlyn,Undirected,81,7
Aeron-Greyjoy,Murenmure,Undirected,82,11
Aeron-Greyjoy,Rus,Undirected,83,5
Aeron-Greyjoy,Theon-Greyjoy,Undirected,84,20
Aeron-Greyjoy,Victarion-Greyjoy,Undirected,85,20
Aerys-I-Targaryen,Robert-Baratheon,Undirected,86,3
Aerys-II-Targaryen,Arthur-Dayne,Undirected,87,5
Aerys-II-Targaryen,Barristan-Selmy,Undirected,88,4
Aerys-II-Targaryen,Brandon-Stark,Undirected,89,4
Aerys-II-Targaryen,Brienne-of-Tarth,Undirected,90,3
Aerys-II-Targaryen,Cersei-Lannister,Undirected,91,3
Aerys-II-Targaryen,Denys-Darklyn,Undirected,92,4
Aerys-II-Targaryen,Eddard-Stark,Undirected,93,15
Aerys-II-Targaryen,Elbert-Arryn,Undirected,94,3
Aerys-II-Targaryen,Gerold-Hightower,Undirected,95,3
Aerys-II-Targaryen,Jaime-Lannister,Undirected,96,37
Aerys-II-Targaryen,Joffrey-Baratheon,Undirected,97,6
Aerys-II-Targaryen,Jon-Arryn,Undirected,98,3
Aerys-II-Targaryen,Owen-Merryweather,Undirected,99,3
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,100,14
Aerys-II-Targaryen,Robert-Baratheon,Undirected,101,35
Aerys-II-Targaryen,Rossart,Undirected,102,4
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,103,9
Aerys-II-Targaryen,Tywin-Lannister,Undirected,104,26
Aerys-II-Targaryen,Viserys-Targaryen,Undirected,105,3
Aggar,Gariss,Undirected,106,3
Aggar,Gelmarr,Undirected,107,3
Aggar,Gynir,Undirected,108,3
Aggar,Ramsay-Snow,Undirected,109,4
Aggo,Barristan-Selmy,Undirected,110,3
Aggo,Belwas,Undirected,111,3
Aggo,Daario-Naharis,Undirected,112,4
Aggo,Daenerys-Targaryen,Undirected,113,30
Aggo,Drogo,Undirected,114,6
Aggo,Grey-Worm,Undirected,115,5
Aggo,Jhogo,Undirected,116,26
Aggo,Jorah-Mormont,Undirected,117,9
Aggo,Quaro,Undirected,118,3
Aggo,Rakharo,Undirected,119,23
Alayaya,Bronn,Undirected,120,3
Alayaya,Cersei-Lannister,Undirected,121,3
Alayaya,Dancy,Undirected,122,3
Alayaya,Tyrion-Lannister,Undirected,123,7
Albett,Halder,Undirected,124,3
Albett,Jon-Snow,Undirected,125,5
Albett,Rast,Undirected,126,3
Alebelly,Bran-Stark,Undirected,127,7
Alebelly,Hayhead,Undirected,128,3
Alebelly,Jojen-Reed,Undirected,129,6
Alebelly,Mikken,Undirected,130,3
Alerie-Hightower,Mace-Tyrell,Undirected,131,3
Alerie-Hightower,Margaery-Tyrell,Undirected,132,3
Alester-Florent,Axell-Florent,Undirected,133,4
Alester-Florent,Cortnay-Penrose,Undirected,134,4
Alester-Florent,Davos-Seaworth,Undirected,135,14
Alester-Florent,Lamprey,Undirected,136,3
Alester-Florent,Renly-Baratheon,Undirected,137,3
Alester-Florent,Selyse-Florent,Undirected,138,4
Alester-Florent,Stannis-Baratheon,Undirected,139,9
Alla-Tyrell,Elinor-Tyrell,Undirected,140,13
Alla-Tyrell,Margaery-Tyrell,Undirected,141,7
Alla-Tyrell,Megga-Tyrell,Undirected,142,16
Alla-Tyrell,Osney-Kettleblack,Undirected,143,3
Alla-Tyrell,Sansa-Stark,Undirected,144,4
Allar-Deem,Janos-Slynt,Undirected,145,3
Allar-Deem,Tyrion-Lannister,Undirected,146,4
Allard-Seaworth,Davos-Seaworth,Undirected,147,5
Allard-Seaworth,Marya-Seaworth,Undirected,148,5
Allard-Seaworth,Stannis-Baratheon,Undirected,149,3
Alleras,Armen,Undirected,150,5
Alleras,Leo-Tyrell,Undirected,151,7
Alleras,Marwyn,Undirected,152,3
Alleras,Mollander,Undirected,153,7
Alleras,Pate-(novice),Undirected,154,8
Alleras,Roone,Undirected,155,6
Alleras,Samwell-Tarly,Undirected,156,8
Alliser-Thorne,Bowen-Marsh,Undirected,157,3
Alliser-Thorne,Grenn,Undirected,158,3
Alliser-Thorne,Halder,Undirected,159,4
Alliser-Thorne,Janos-Slynt,Undirected,160,13
Alliser-Thorne,Jeor-Mormont,Undirected,161,13
Alliser-Thorne,Joffrey-Baratheon,Undirected,162,4
Alliser-Thorne,Jon-Snow,Undirected,163,63
Alliser-Thorne,Mance-Rayder,Undirected,164,6
Alliser-Thorne,Pypar,Undirected,165,4
Alliser-Thorne,Qhorin-Halfhand,Undirected,166,4
Alliser-Thorne,Rast,Undirected,167,5
Alliser-Thorne,Samwell-Tarly,Undirected,168,12
Alliser-Thorne,Stannis-Baratheon,Undirected,169,3
Alliser-Thorne,Tyrion-Lannister,Undirected,170,15
Alyn,Eddard-Stark,Undirected,171,11
Alyn,Harwin,Undirected,172,6
Alyn,Jory-Cassel,Undirected,173,8
Alyn,Robert-Baratheon,Undirected,174,4
Alyn,Tomard,Undirected,175,3
Alys-Arryn,Elys-Waynwood,Undirected,176,4
Alys-Arryn,Jon-Arryn,Undirected,177,3
Alys-Karstark,Jon-Snow,Undirected,178,13
Alys-Karstark,Melisandre,Undirected,179,6
Alys-Karstark,Sigorn,Undirected,180,5
Alysane-Mormont,Asha-Greyjoy,Undirected,181,18
Alysane-Mormont,Justin-Massey,Undirected,182,5
Alysane-Mormont,Stannis-Baratheon,Undirected,183,5
Amabel,Arya-Stark,Undirected,184,6
Amabel,Harra,Undirected,185,4
Amerei-Frey,Jaime-Lannister,Undirected,186,6
Amerei-Frey,Lancel-Lannister,Undirected,187,10
Amerei-Frey,Lyle-Crakehall,Undirected,188,4
Amory-Lorch,Arya-Stark,Undirected,189,9
Amory-Lorch,Cersei-Lannister,Undirected,190,4
Amory-Lorch,Chiswyck,Undirected,191,4
Amory-Lorch,Dunsen,Undirected,192,3
Amory-Lorch,Gendry,Undirected,193,3
Amory-Lorch,Gregor-Clegane,Undirected,194,10
Amory-Lorch,Hot-Pie,Undirected,195,3
Amory-Lorch,Ilyn-Payne,Undirected,196,4
Amory-Lorch,Jaime-Lannister,Undirected,197,3
Amory-Lorch,Joffrey-Baratheon,Undirected,198,7
Amory-Lorch,Meryn-Trant,Undirected,199,5
Amory-Lorch,Oberyn-Martell,Undirected,200,6
Amory-Lorch,Polliver,Undirected,201,3
Amory-Lorch,Rafford,Undirected,202,5
Amory-Lorch,Roose-Bolton,Undirected,203,3
Amory-Lorch,Sandor-Clegane,Undirected,204,5
Amory-Lorch,Tickler,Undirected,205,5
Amory-Lorch,Tywin-Lannister,Undirected,206,8
Amory-Lorch,Vargo-Hoat,Undirected,207,10
Amory-Lorch,Yoren,Undirected,208,5
Anders-Yronwood,Oberyn-Martell,Undirected,209,3
Anders-Yronwood,Quentyn-Martell,Undirected,210,4
Andrew-Estermont,Davos-Seaworth,Undirected,211,4
Andrew-Estermont,Edric-Storm,Undirected,212,4
Andrew-Estermont,Gerald-Gower,Undirected,213,3
Andrey-Dalt,Arianne-Martell,Undirected,214,10
Andrey-Dalt,Garin-(orphan),Undirected,215,11
Andrey-Dalt,Myrcella-Baratheon,Undirected,216,4
Andrey-Dalt,Sylva-Santagar,Undirected,217,8
Andrey-Dalt,Tyene-Sand,Undirected,218,4
Anguy,Arya-Stark,Undirected,219,15
Anguy,Beric-Dondarrion,Undirected,220,4
Anguy,Greenbeard,Undirected,221,9
Anguy,Harwin,Undirected,222,7
Anguy,Husband,Undirected,223,3
Anguy,Lem,Undirected,224,22
Anguy,Sandor-Clegane,Undirected,225,3
Anguy,Sharna,Undirected,226,6
Anguy,Tom-of-Sevenstreams,Undirected,227,12
Anya-Waynwood,Benedar-Belmore,Undirected,228,4
Anya-Waynwood,Gilwood-Hunter,Undirected,229,6
Anya-Waynwood,Harrold-Hardyng,Undirected,230,6
Anya-Waynwood,Horton-Redfort,Undirected,231,7
Anya-Waynwood,Petyr-Baelish,Undirected,232,10
Anya-Waynwood,Symond-Templeton,Undirected,233,6
Anya-Waynwood,Yohn-Royce,Undirected,234,5
Archibald-Yronwood,Cletus-Yronwood,Undirected,235,5
Archibald-Yronwood,Gerris-Drinkwater,Undirected,236,13
Archibald-Yronwood,Quentyn-Martell,Undirected,237,21
Archibald-Yronwood,Tattered-Prince,Undirected,238,4
Ardrian-Celtigar,Monford-Velaryon,Undirected,239,5
Areo-Hotah,Arianne-Martell,Undirected,240,28
Areo-Hotah,Arys-Oakheart,Undirected,241,11
Areo-Hotah,Balon-Swann,Undirected,242,4
Areo-Hotah,Caleotte,Undirected,243,7
Areo-Hotah,Doran-Martell,Undirected,244,44
Areo-Hotah,Ellaria-Sand,Undirected,245,3
Areo-Hotah,Myrcella-Baratheon,Undirected,246,5
Areo-Hotah,Obara-Sand,Undirected,247,13
Areo-Hotah,Oberyn-Martell,Undirected,248,3
Arianne-Martell,Arys-Oakheart,Undirected,249,19
Arianne-Martell,Balon-Swann,Undirected,250,5
Arianne-Martell,Cedra,Undirected,251,8
Arianne-Martell,Doran-Martell,Undirected,252,26
Arianne-Martell,Ellaria-Sand,Undirected,253,3
Arianne-Martell,Franklyn-Fowler,Undirected,254,3
Arianne-Martell,Garin-(orphan),Undirected,255,18
Arianne-Martell,Gerold-Dayne,Undirected,256,11
Arianne-Martell,Mellei,Undirected,257,3
Arianne-Martell,Morra,Undirected,258,3
Arianne-Martell,Myrcella-Baratheon,Undirected,259,16
Arianne-Martell,Obara-Sand,Undirected,260,5
Arianne-Martell,Oberyn-Martell,Undirected,261,3
Arianne-Martell,Quentyn-Martell,Undirected,262,8
Arianne-Martell,Ricasso,Undirected,263,3
Arianne-Martell,Sylva-Santagar,Undirected,264,10
Arianne-Martell,Timoth,Undirected,265,3
Arianne-Martell,Tyene-Sand,Undirected,266,4
Armen,Leo-Tyrell,Undirected,267,3
Armen,Marwyn,Undirected,268,3
Armen,Mollander,Undirected,269,3
Armen,Pate-(novice),Undirected,270,5
Armen,Roone,Undirected,271,4
Arnolf-Karstark,Arthor-Karstark,Undirected,272,3
Arnolf-Karstark,Asha-Greyjoy,Undirected,273,3
Arnolf-Karstark,Mors-Umber,Undirected,274,4
Arnolf-Karstark,Rickard-Karstark,Undirected,275,3
Arnolf-Karstark,Stannis-Baratheon,Undirected,276,7
Aron-Santagar,Sandor-Clegane,Undirected,277,3
Arron,Emrick,Undirected,278,6
Arron,Hareth-(Moles-Town),Undirected,279,4
Arron,Satin,Undirected,280,4
Arson,Jon-Snow,Undirected,281,3
Arstan,Belwas,Undirected,282,25
Arstan,Daenerys-Targaryen,Undirected,283,29
Arstan,Illyrio-Mopatis,Undirected,284,3
Arstan,Jhiqui,Undirected,285,3
Arstan,Jorah-Mormont,Undirected,286,13
Arstan,Kraznys-mo-Nakloz,Undirected,287,3
Arstan,Mero,Undirected,288,7
Arstan,Rhaegar-Targaryen,Undirected,289,7
Arthur-Dayne,Gerold-Hightower,Undirected,290,9
Arthur-Dayne,Lewyn-Martell,Undirected,291,3
Arthur-Dayne,Rhaegar-Targaryen,Undirected,292,3
Arthur-Dayne,Smiling-Knight,Undirected,293,4
Arwyn-Oakheart,Randyll-Tarly,Undirected,294,3
Arya-Stark,Bellegere-Otherys,Undirected,295,3
Arya-Stark,Benjen-Stark,Undirected,296,3
Arya-Stark,Beric-Dondarrion,Undirected,297,28
Arya-Stark,Biter,Undirected,298,10
Arya-Stark,Bran-Stark,Undirected,299,40
Arya-Stark,Brea,Undirected,300,5
Arya-Stark,Brusco,Undirected,301,10
Arya-Stark,Brynden-Tully,Undirected,302,4
Arya-Stark,Catelyn-Stark,Undirected,303,8
Arya-Stark,Cersei-Lannister,Undirected,304,25
Arya-Stark,Chiswyck,Undirected,305,8
Arya-Stark,Dareon,Undirected,306,5
Arya-Stark,Denyo-Terys,Undirected,307,8
Arya-Stark,Desmond,Undirected,308,3
Arya-Stark,Dobber,Undirected,309,4
Arya-Stark,Dunsen,Undirected,310,6
Arya-Stark,Eddard-Stark,Undirected,311,46
Arya-Stark,Elmar-Frey,Undirected,312,4
Arya-Stark,Gendry,Undirected,313,82
Arya-Stark,Greenbeard,Undirected,314,9
Arya-Stark,Gregor-Clegane,Undirected,315,10
Arya-Stark,Harra,Undirected,316,3
Arya-Stark,Harren-Hoare,Undirected,317,7
Arya-Stark,Harwin,Undirected,318,17
Arya-Stark,Hot-Pie,Undirected,319,76
Arya-Stark,Ilyn-Payne,Undirected,320,8
Arya-Stark,Jaime-Lannister,Undirected,321,13
Arya-Stark,Jaqen-Hghar,Undirected,322,25
Arya-Stark,Jeyne-Poole,Undirected,323,14
Arya-Stark,Joffrey-Baratheon,Undirected,324,53
Arya-Stark,Jon-Snow,Undirected,325,71
Arya-Stark,Jory-Cassel,Undirected,326,12
Arya-Stark,Kindly-Man,Undirected,327,17
Arya-Stark,Koss,Undirected,328,3
Arya-Stark,Lem,Undirected,329,24
Arya-Stark,Lommy-Greenhands,Undirected,330,31
Arya-Stark,Mad-Huntsman,Undirected,331,4
Arya-Stark,Mance-Rayder,Undirected,332,3
Arya-Stark,Melisandre,Undirected,333,4
Arya-Stark,Meralyn,Undirected,334,9
Arya-Stark,Meryn-Trant,Undirected,335,7
Arya-Stark,Mordane,Undirected,336,39
Arya-Stark,Mycah,Undirected,337,24
Arya-Stark,Myrcella-Baratheon,Undirected,338,13
Arya-Stark,Nan,Undirected,339,17
Arya-Stark,Pate-(Old),Undirected,340,4
Arya-Stark,Petyr-Baelish,Undirected,341,3
Arya-Stark,Polliver,Undirected,342,14
Arya-Stark,Praed,Undirected,343,3
Arya-Stark,Rafford,Undirected,344,10
Arya-Stark,Ramsay-Snow,Undirected,345,5
Arya-Stark,Ravella-Swann,Undirected,346,7
Arya-Stark,Rickon-Stark,Undirected,347,20
Arya-Stark,Robb-Stark,Undirected,348,44
Arya-Stark,Robert-Baratheon,Undirected,349,17
Arya-Stark,Rodrik-Cassel,Undirected,350,3
Arya-Stark,Roose-Bolton,Undirected,351,21
Arya-Stark,Rorge,Undirected,352,13
Arya-Stark,Sandor-Clegane,Undirected,353,58
Arya-Stark,Sansa-Stark,Undirected,354,155
Arya-Stark,Syrio-Forel,Undirected,355,29
Arya-Stark,Talea,Undirected,356,4
Arya-Stark,Ternesio-Terys,Undirected,357,5
Arya-Stark,Theon-Greyjoy,Undirected,358,7
Arya-Stark,Thoros-of-Myr,Undirected,359,21
Arya-Stark,Tickler,Undirected,360,5
Arya-Stark,Tom-of-Sevenstreams,Undirected,361,24
Arya-Stark,Tomard,Undirected,362,6
Arya-Stark,Tommen-Baratheon,Undirected,363,5
Arya-Stark,Tyrion-Lannister,Undirected,364,11
Arya-Stark,Tywin-Lannister,Undirected,365,13
Arya-Stark,Umma,Undirected,366,6
Arya-Stark,Vargo-Hoat,Undirected,367,6
Arya-Stark,Vayon-Poole,Undirected,368,4
Arya-Stark,Waif,Undirected,369,20
Arya-Stark,Weasel,Undirected,370,10
Arya-Stark,Weese,Undirected,371,15
Arya-Stark,Woth,Undirected,372,3
Arya-Stark,Yoren,Undirected,373,32
Arya-Stark,Yorko-Terys,Undirected,374,6
Arys-Oakheart,Cersei-Lannister,Undirected,375,3
Arys-Oakheart,Doran-Martell,Undirected,376,3
Arys-Oakheart,Garin-(orphan),Undirected,377,3
Arys-Oakheart,Gerold-Dayne,Undirected,378,6
Arys-Oakheart,Joffrey-Baratheon,Undirected,379,6
Arys-Oakheart,Myrcella-Baratheon,Undirected,380,22
Arys-Oakheart,Sansa-Stark,Undirected,381,3
Asha-Greyjoy,Balon-Greyjoy,Undirected,382,15
Asha-Greyjoy,Clayton-Suggs,Undirected,383,4
Asha-Greyjoy,Dagmer,Undirected,384,5
Asha-Greyjoy,Euron-Greyjoy,Undirected,385,23
Asha-Greyjoy,Galbart-Glover,Undirected,386,8
Asha-Greyjoy,Godry-Farring,Undirected,387,3
Asha-Greyjoy,Grimtongue,Undirected,388,3
Asha-Greyjoy,Hagen,Undirected,389,3
Asha-Greyjoy,Justin-Massey,Undirected,390,15
Asha-Greyjoy,Qarl-the-Maid,Undirected,391,8
Asha-Greyjoy,Red-Oarsman,Undirected,392,3
Asha-Greyjoy,Robert-Baratheon,Undirected,393,4
Asha-Greyjoy,Rodrik-Harlaw,Undirected,394,7
Asha-Greyjoy,Rolfe-the-Dwarf,Undirected,395,3
Asha-Greyjoy,Stannis-Baratheon,Undirected,396,16
Asha-Greyjoy,Sybelle-Glover,Undirected,397,3
Asha-Greyjoy,Theon-Greyjoy,Undirected,398,48
Asha-Greyjoy,Torgon-Greyiron,Undirected,399,3
Asha-Greyjoy,Tristifer-Botley,Undirected,400,16
Asha-Greyjoy,Tycho-Nestoris,Undirected,401,3
Asha-Greyjoy,Victarion-Greyjoy,Undirected,402,10
Asha-Greyjoy,Wex-Pyke,Undirected,403,3
Ashara-Dayne,Elia-Martell,Undirected,404,3
Aurane-Waters,Cersei-Lannister,Undirected,405,9
Aurane-Waters,Gyles-Rosby,Undirected,406,3
Aurane-Waters,Harys-Swyft,Undirected,407,5
Aurane-Waters,Loras-Tyrell,Undirected,408,3
Aurane-Waters,Margaery-Tyrell,Undirected,409,5
Aurane-Waters,Orton-Merryweather,Undirected,410,3
Aurane-Waters,Paxter-Redwyne,Undirected,411,3
Aurane-Waters,Stannis-Baratheon,Undirected,412,3
Aurane-Waters,Tommen-Baratheon,Undirected,413,3
Axell-Florent,Davos-Seaworth,Undirected,414,21
Axell-Florent,Jon-Snow,Undirected,415,4
Axell-Florent,Lamprey,Undirected,416,5
Axell-Florent,Melisandre,Undirected,417,9
Axell-Florent,Porridge,Undirected,418,5
Axell-Florent,Salladhor-Saan,Undirected,419,3
Axell-Florent,Selyse-Florent,Undirected,420,19
Axell-Florent,Shireen-Baratheon,Undirected,421,3
Axell-Florent,Stannis-Baratheon,Undirected,422,25
Azor-Ahai,Stannis-Baratheon,Undirected,423,6
Bael-the-Bard,Ygritte,Undirected,424,5
Baelor-Blacktyde,Balon-Greyjoy,Undirected,425,3
Baelor-Blacktyde,Euron-Greyjoy,Undirected,426,4
Baelor-Blacktyde,Victarion-Greyjoy,Undirected,427,4
Baelor-I-Targaryen,Cersei-Lannister,Undirected,428,8
Baelor-I-Targaryen,Sansa-Stark,Undirected,429,3
Baelor-I-Targaryen,Tyrion-Lannister,Undirected,430,3
Ballabar,Frenken,Undirected,431,4
Ballabar,Podrick-Payne,Undirected,432,3
Ballabar,Tyrion-Lannister,Undirected,433,16
Balman-Byrch,Bronn,Undirected,434,7
Balman-Byrch,Cersei-Lannister,Undirected,435,7
Balman-Byrch,Falyse-Stokeworth,Undirected,436,10
Balon-Greyjoy,Catelyn-Stark,Undirected,437,3
Balon-Greyjoy,Dagmer,Undirected,438,3
Balon-Greyjoy,Eddard-Stark,Undirected,439,7
Balon-Greyjoy,Euron-Greyjoy,Undirected,440,23
Balon-Greyjoy,Robb-Stark,Undirected,441,11
Balon-Greyjoy,Robert-Baratheon,Undirected,442,8
Balon-Greyjoy,Stannis-Baratheon,Undirected,443,8
Balon-Greyjoy,Theon-Greyjoy,Undirected,444,30
Balon-Greyjoy,Tywin-Lannister,Undirected,445,4
Balon-Greyjoy,Victarion-Greyjoy,Undirected,446,17
Balon-Swann,Boros-Blount,Undirected,447,3
Balon-Swann,Doran-Martell,Undirected,448,11
Balon-Swann,Gerold-Dayne,Undirected,449,3
Balon-Swann,Gregor-Clegane,Undirected,450,3
Balon-Swann,Jaime-Lannister,Undirected,451,8
Balon-Swann,Joffrey-Baratheon,Undirected,452,11
Balon-Swann,Loras-Tyrell,Undirected,453,10
Balon-Swann,Mandon-Moore,Undirected,454,3
Balon-Swann,Meryn-Trant,Undirected,455,3
Balon-Swann,Myrcella-Baratheon,Undirected,456,4
Balon-Swann,Osmund-Kettleblack,Undirected,457,7
Balon-Swann,Renly-Baratheon,Undirected,458,3
Balon-Swann,Sandor-Clegane,Undirected,459,3
Balon-Swann,Tyrion-Lannister,Undirected,460,15
Bannen,Dywen,Undirected,461,5
Bannen,Samwell-Tarly,Undirected,462,11
Barbrey-Dustin,Jeyne-Poole,Undirected,463,5
Barbrey-Dustin,Ramsay-Snow,Undirected,464,5
Barbrey-Dustin,Roger-Ryswell,Undirected,465,4
Barbrey-Dustin,Roose-Bolton,Undirected,466,3
Barbrey-Dustin,Stannis-Baratheon,Undirected,467,3
Barbrey-Dustin,Theon-Greyjoy,Undirected,468,17
Barristan-Selmy,Belwas,Undirected,469,14
Barristan-Selmy,Ben-Plumm,Undirected,470,4
Barristan-Selmy,Bloodbeard,Undirected,471,3
Barristan-Selmy,Boros-Blount,Undirected,472,3
Barristan-Selmy,Cersei-Lannister,Undirected,473,17
Barristan-Selmy,Daario-Naharis,Undirected,474,18
Barristan-Selmy,Daenerys-Targaryen,Undirected,475,83
Barristan-Selmy,Eddard-Stark,Undirected,476,28
Barristan-Selmy,Galazza-Galare,Undirected,477,5
Barristan-Selmy,Gerold-Hightower,Undirected,478,5
Barristan-Selmy,Gerris-Drinkwater,Undirected,479,4
Barristan-Selmy,Grazhar,Undirected,480,3
Barristan-Selmy,Grey-Worm,Undirected,481,6
Barristan-Selmy,Groleo,Undirected,482,8
Barristan-Selmy,Hizdahr-zo-Loraq,Undirected,483,42
Barristan-Selmy,Jaime-Lannister,Undirected,484,8
Barristan-Selmy,Jhogo,Undirected,485,3
Barristan-Selmy,Joffrey-Baratheon,Undirected,486,13
Barristan-Selmy,Jon-Arryn,Undirected,487,4
Barristan-Selmy,Jorah-Mormont,Undirected,488,5
Barristan-Selmy,Khrazz,Undirected,489,8
Barristan-Selmy,Larraq,Undirected,490,3
Barristan-Selmy,Meryn-Trant,Undirected,491,3
Barristan-Selmy,Missandei,Undirected,492,8
Barristan-Selmy,Petyr-Baelish,Undirected,493,7
Barristan-Selmy,Pycelle,Undirected,494,8
Barristan-Selmy,Quentyn-Martell,Undirected,495,22
Barristan-Selmy,Renly-Baratheon,Undirected,496,13
Barristan-Selmy,Reznak-mo-Reznak,Undirected,497,7
Barristan-Selmy,Rhaegar-Targaryen,Undirected,498,3
Barristan-Selmy,Robert-Baratheon,Undirected,499,51
Barristan-Selmy,Sandor-Clegane,Undirected,500,3
